7.369722,Cameroon,12.354722,15.19714,9.352857,0.8028571,37.74286,42.14571,2007
7.369722,Cameroon,12.354722,3.417143,33.91143,3.834286,49.91143,47.73857,2007
7.369722,Cameroon,12.354722,1.451429,12.47,3.952857,76.73286,52.35429,2007
7.369722,Cameroon,12.354722,1.902857,15.53286,2.621429,70.08429,51.02857,2008
7.369722,Cameroon,12.354722,59.92429,3.162857,0.2871429,10.00286,38.62429,2008
7.369722,Cameroon,12.354722,2.187143,18.53571,0.8357143,56.74143,52.18286,2008
7.369722,Cameroon,12.354722,2.558571,17.02714,1.142857,51.78429,42.81571,2008
7.369722,Cameroon,12.354722,8.244286,38.75571,3.984286,39.14143,44.93286,2008
7.369722,Cameroon,12.354722,15.22286,9.337143,0.9071429,38.81714,41.70429,2008
7.369722,Cameroon,12.354722,3.272857,33.15857,3.675714,50.87857,49.52143,2008
7.369722,Cameroon,12.354722,1.498571,12.13,4.217143,77.42714,52.28571,2008
7.369722,Cameroon,12.354722,1.928571,14.58857,2.664286,71.74286,51.85571,2009
7.369722,Cameroon,12.354722,58.45286,3.298571,0.2914286,10.58857,40.70286,2009
7.369722,Cameroon,12.354722,2.061429,18.16714,0.8371429,58.05429,53.49857,2009
7.369722,Cameroon,12.354722,2.455714,16.56143,1.248571,53.49286,42.60714,2009
7.369722,Cameroon,12.354722,7.582857,38.43714,4.132857,41.03429,44.30857,2009
7.369722,Cameroon,12.354722,15.24857,9.321429,1.011429,39.89143,41.26286,2009
7.369722,Cameroon,12.354722,3.128571,32.40571,3.517143,51.84571,51.30429,2009
7.369722,Cameroon,12.354722,1.545714,11.79,4.481429,78.12143,52.21714,2009
7.369722,Cameroon,12.354722,1.954286,13.64429,2.707143,73.40143,52.68286,2010
7.369722,Cameroon,12.354722,56.98143,3.434286,0.2957143,11.17429,42.78143,2010
7.369722,Cameroon,12.354722,1.935714,17.79857,0.8385714,59.36714,54.81429,2010
7.369722,Cameroon,12.354722,2.352857,16.09571,1.354286,55.20143,42.39857,2010
