,country_name,DV_phys_or_sex_partner_p,DM_age_mean,DM_age_marr_mean,ED_educ_years_mean,FF_TFR,class,latitude,longitude,GDP
0,Armenia,9.176363636363636,31.456363636363633,20.53090909090909,11.556363636363637,1.7893636363636363,2.0,,,
1,Bangladesh,45.628,25.786,15.157999999999998,3.678,2.6474,1.0,23.684994,90.356331,164515355696.22726
2,Benin,22.21166666666667,28.52,18.885,3.108333333333333,5.716833333333334,0.3333333333333333,9.30769,2.315834,9943231901.318182
3,Burkina Faso,11.683076923076923,28.96,17.465384615384615,1.466923076923077,6.164461538461539,0.38461538461538464,12.238333,-1.561593,10447516178.09091
4,Burundi,42.9825,28.005,20.0625,4.93,5.175,1.25,-3.373056,29.918886,1922410442.509091
5,Cambodia,16.25899997777778,29.756851851851852,19.504018518518517,4.17074074074074,3.502877777777778,0.16296296296296298,,,
6,Cameroon,43.35254716981132,27.703113207547172,18.511603773584905,6.927547141509434,4.782745283018868,1.2547169811320755,7.369722,12.354722,27955394903.81818
7,Colombia,38.54571428571428,30.338791208791207,20.13,8.944835164835165,2.2845164835164833,2.0,4.570868,-74.297333,244623123155.68182
8,Congo Democratic Republic,56.20227272727273,28.156818181818178,18.145454545454545,5.460909090909091,6.612090909090909,1.0909090909090908,,,
9,Cote d'Ivoire,24.034,28.629,18.556,2.76,5.5267,0.4,,,
10,Egypt,17.91,24.133333333333336,20.366666666666667,6.086666666666667,3.2703333333333333,0.0,,,
11,Ethiopia,22.347272727272728,27.80636363636364,17.337272727272726,4.1445454545454545,4.338363636363637,0.6363636363636364,,,
12,Gabon,50.296,28.642000000000003,19.9,7.553999999999999,4.8218000000000005,1.4,-0.803689,11.609444,13087949263.454546
13,Ghana,22.935,29.051,18.955000000000002,5.898000000000001,4.3155,0.4,7.946527000000001,-1.023194,37426459920.045456
14,Guatemala,17.11,28.555,18.36625,5.89375,3.24925,0.25,15.783471,-90.230759,46864392764.045456
15,Haiti,20.765718932461873,28.429248409586055,19.984248366013073,4.78676471459695,4.311114370370371,0.1830065359477124,18.971187,-72.285215,11615602918.136364
16,Honduras,20.209375,28.59125,18.358125,6.875625,3.1591875,0.25,15.199999,-86.241905,16315594697.363636
17,India,30.282307692307693,29.15576923076923,18.22346153846154,5.920000000000001,2.551846153846154,0.9230769230769231,20.593684,78.96288000000001,1634285636363.6365
18,Jordan,12.43909090909091,19.89530303030303,21.103787878787877,6.422272727272727,3.4692575757575757,0.0,,,
19,Kenya,37.593125,28.226249999999997,18.888125,6.8975,4.8215625,1.0833333333333333,-0.023559,37.906193,51536372218.681816
20,Liberia,36.410000000000004,29.660000000000004,17.794,2.8899999999999997,5.8976,1.0,,,
21,Malawi,30.42986111111111,27.921527777777776,17.56722222222222,5.711944444444445,5.452319444444445,1.0,-13.254308,34.301525,6193792894.090909
22,Maldives,13.721666666666666,30.846666666666664,20.118333333333336,8.97,2.339166666666667,2.0,,,
23,Mali,26.227115384615384,28.498317307692307,17.20966346153846,1.7949519201923076,6.292725961538461,0.8942307692307693,,,
24,Mozambique,32.99636363636363,28.502727272727274,18.42818181818182,4.122727272727273,5.706181818181818,1.0,,,
25,Namibia,24.56230769230769,29.13,23.53923076923077,8.627692307692307,3.9285384615384613,1.9230769230769231,,,
26,Nigeria,21.26212121212121,28.89090909090909,18.75,6.847727272727273,5.325954545454545,1.378787878787879,9.081999,8.675277,325487278802.4091
27,Pakistan,20.749200000000002,21.262800000000002,18.7344,2.0452,3.84928,0.0,30.375321,69.345116,205849939805.7273
28,Peru,41.180395833333336,30.103270833333333,19.827958333333335,8.739979166666666,2.9599791666666664,1.9041666666666666,-9.189967,-75.015152,144308499734.81818
29,Philippines,15.964058823529411,29.991794117647057,20.900235294117646,10.111088235294117,3.2718294117647058,1.8823529411764706,12.879720999999998,121.77401700000001,222570063385.95456
30,Rwanda,44.747,28.482000000000003,20.794,5.016,4.2622,1.3333333333333333,-1.940278,29.873888,6187221313.954545
31,Senegal,18.924166666666668,28.15833333333333,18.976666666666667,3.9924999999999997,4.787833333333333,0.25,14.497401000000002,-14.452362,16128739772.09091
32,Sierra Leone,46.90375,28.5575,18.46625,4.2212499999999995,4.53275,1.25,8.460555,-11.779889,2891160717.918182
33,South Africa,18.22,30.515,24.0475,10.4775,2.472,2.0,-30.559482,22.937506,324268727272.7273
34,Tajikistan,20.025,29.595000000000002,20.382,10.431999999999999,3.5891,1.8666666666666667,,,
35,Tanzania,34.26804347826087,28.895869565217392,18.67369565217391,6.213260869565217,5.309869565217392,0.782608695652174,,,
36,Timor-Leste,36.98384615384616,28.89153846153846,20.188076923076924,6.6692307692307695,5.130961538461539,0.9423076923076923,,,
37,Togo,23.831666666666667,29.44333333333333,19.198333333333334,4.248333333333334,5.07,0.16666666666666666,8.619543,0.824782,4093443055.7272735
38,Uganda,51.48977272727273,28.005454545454544,17.713409090909092,5.5575,6.1859318181818175,1.0,1.373333,32.290275,22071431228.590908
39,Zambia,43.87505208333334,28.27796875,18.370833333333334,6.701458333333334,5.5714218749999995,1.1041666666666667,-13.133897,27.849332,16989316730.0
40,Zimbabwe,33.38636363636363,28.10818181818182,19.142181818181818,8.68690909090909,4.0194090909090905,1.290909090909091,-19.015438,29.154857,13987550149.40909
41,Cambodia,,,,,,,12.5657,104.991,26600000000.0
42,Mali,,,,,,,17.57,-4.0,19100000000.0
43,Jordan,,,,,,,30.5852,36.2384,45700000000.0
44,Congo Democratic Republic,,,,,,,-4.0383,21.7587,55400000000.0
45,Liberia,,,,,,,6.43,-9.43,3510000000.0
