,year,country_name,DM_age_marr_mean,DM_age_mean,ED_educ_years_mean,FP_desired_mean,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,HH_time_water_mean,HH_women_time_water_mean,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,WL_wealth_mean,FP_desired_daugh_mean,FP_desired_sons_mean,DM_age_diff_mean,HL_number_cigarettes_mean
28,1994,India,15.37166667,23.53333333,2.003333333,2.086666667,0.655,4.888333333,4.985,0.628333333,4.761666667,16.065,12.46666667,17.365,NA,2.131666667,1.846666667,33.18666667,NA,NA,NA,NA
29,1994,Indonesia,19.08,19.75,4.57,1.51,0.54,NA,5.04,0.41,3.38,5.14,2.45,18.24,16.89,1.65,1.51,65.41,0.74,0.77,NA,NA
30,1994,Kenya,19.448,26.594,8.472,2.712,0.446,2.966,2.928,0.736,4.436,9.524,12.64,20.458,17.336,1.762,1.63,46.936,NA,NA,NA,NA
31,1994,Madagascar,18.73,28.376,5.072,6.232,0.972,5.056,5.176,1.088,6.248,15.5,15.854,19.934,18.01,2.98,2.546,19.056,NA,NA,NA,NA
32,1994,Malawi,17.2275,27.4725,4.9575,4.97,0.9325,4.62,4.69,1.19,6.09,32.3875,32.9525,18.58,NA,3.2225,2.5375,13.765,NA,NA,NA,NA
33,1994,Morocco,18.99363636,28.5,1.443636364,3.762727273,1.009090909,5.552727273,5.714545455,1.284545455,7.416363636,NA,NA,21.24,NA,2.448181818,2.082727273,48.01636364,NA,NA,NA,NA
34,1994,Niger,14.65666667,28.06333333,0.48,8.016666667,1.296666667,5.543333333,5.783333333,1.676666667,7.286666667,26.24333333,26.29,17.96,14.64142857,3.896666667,2.636666667,7.94,NA,NA,NA,NA
35,1994,Pakistan,18.452,22.736,1.416,2.856,1.118,6.366,6.632,1.048,5.73,32.736,25.194,19.378,NA,2.852,2.452,43.744,NA,NA,NA,NA
36,1994,Senegal,17.9825,27.855,3.485,4.9,1.56,8.1525,8.2375,2.3775,12.4575,17.01,17.3975,19.84,17.67,2.78,2.43,44.6325,NA,NA,NA,NA
37,1994,Zambia,17.28,27.365,5.645,5.6,0.995,5.08,5.225,1.425,7.245,19.215,18.38,18.355,15.825,3.12,2.625,19.305,NA,NA,NA,NA
38,1994,Zimbabwe,17.98,27.69,6.12,5.04,0.8,4.62,4.72,1.09,6.22,27.44,29.53,19.07,17.43,2.85,2.56,23.96,2.46,2.45,NA,NA
39,1995,Bangladesh,14.30666667,24.99,2.833333333,2.11,0.853333333,5.196666667,5.406666667,0.803333333,5.366666667,12.73294118,11.50588235,17.27,NA,2.936666667,2.386666667,22.92,0.906666667,1.193333333,NA,NA
40,1995,Colombia,19.18,28.79,6.89,2.86,0.78,5.14,5.18,0.91,6.32,17.4,18.81,21,19.18,2.1,1.99,43.66,1.26,1.06,5.11,NA
41,1995,Cote d'Ivoire,18.69444444,27.88055556,2.244444444,5.707222222,1.423888889,6.969444444,6.970555556,2.455555556,12.01888889,20.76277778,22.81777778,18.19833333,15.35277778,3.272222222,2.754444444,32.04111111,NA,NA,NA,NA
