,country_name,DV_phys_or_sex_partner_p,DM_age_mean,DM_age_mean,DM_age_marr_mean,DM_age_marr_mean,WK_working_p,DM_urban_p,DM_marr_p,ED_educ_years_mean,FF_TFR,PCA2,PCA3,PCA1,class,country_code,latitude,longitude,GDP
25,Namibia,24.56230769,28.75043956,28.75043956,22.90903846,22.90903846,39.47626374,44.54604397,38.64104396,8.016648368,3.978340659,5.036382115,0.037727433,-1.362483913,2,NA,-22.95764,18.49041,9012975186
26,Nigeria,21.26212121,28.67291667,28.67291667,18.49447917,18.49447917,61.89177083,41.185,67.8253125,6.58625,5.376510417,-0.502583928,-0.849343151,0.633644328,0,NG,9.081999,8.675277,2.60752E+11
27,Pakistan,20.7492,21.29538356,21.29538356,18.39843836,18.39843836,13.71108219,20.21434247,63.89327397,1.649589041,4.078034247,-1.678754009,5.716511496,-0.954759166,1,PK,30.375321,69.345116,1.71239E+11
28,Peru,41.25857372,30.1369391,30.1369391,19.83833333,19.83833333,64.60224359,61.67024038,60.30714744,8.756522436,2.938782051,2.332362841,-2.032431878,-0.293768889,2,PE,-9.189967,-75.015152,1.2775E+11
29,Philippines,15.96405882,29.99445098,29.99445098,20.84117647,20.84117647,47.29235294,41.49780392,63.79327451,9.953745098,3.424360784,2.867469613,-0.770403108,1.963503247,2,PH,12.879721,121.774017,1.81811E+11
30,Rwanda,44.747,28.47875,28.47875,20.794,20.794,73.73,22.997625,50.906375,4.855125,4.479275,1.150851553,-1.059853947,-2.127450659,0,RW,-1.940278,29.873888,5001089186
31,Senegal,18.92416667,27.90301563,27.90301563,18.10048438,18.10048438,43.05757813,42.04945313,68.30884375,2.9299375,5.331528125,-1.342850165,0.375585754,0.674970211,0,SN,14.497401,-14.452362,11211402997
32,Sierra Leone,46.90375,28.641875,28.641875,18.10197917,18.10197917,68.17489583,42.27083333,65.85583333,3.7928125,4.688020833,-1.286876234,-1.343787661,-1.229567798,0,SL,8.460555,-11.779889,2626358802
33,South Africa,18.22,30.15833319,30.15833319,22.97305575,22.97305575,35.99027773,72.11750015,39.53388879,9.715277743,2.557222242,6.621212243,-0.650925562,-0.14878794,2,ZA,-30.559482,22.937506,2.81106E+11
34,Tajikistan,20.025,29.595,29.595,20.382,20.382,24.686,33.197,67.776,10.432,3.5891,2.325501359,0.067843769,2.223757361,2,TJ,38.861034,71.276093,4738185362
35,Tanzania,34.26804348,28.67093023,28.67093023,18.37,18.37,75.13898256,26.06398256,64.25507267,5.703502907,5.432578488,-1.175065441,-1.335227428,-0.465107694,0,TZ,-6.369028,34.888822,28386337053
36,Timor-Leste,36.98384615,28.89153846,28.89153846,20.18807692,20.18807692,38.27923077,18.76269238,61.67461538,6.669230769,5.130961538,0.668563431,-0.276558972,-0.32180047,0,TL,-8.874217,125.727539,2925564093
37,Togo,23.83166667,29.14577778,29.14577778,18.84083333,18.84083333,73.51488889,35.23805556,68.7945,3.435111111,5.234161111,-1.089476634,-1.284238201,0.514039638,0,TG,8.619543,0.824782,2973784074
38,Uganda,51.48977273,27.98051471,27.98051471,17.56852941,17.56852941,75.28676471,17.87014706,63.84220588,5.189044118,6.427558824,-2.515218623,-1.424360138,-2.140049842,0,UG,1.373333,32.290275,16032635284
39,Zambia,43.87505208,28.08157895,28.08157895,18.10934211,18.10934211,52.28730263,37.66532895,59.65223684,6.373322368,5.774358553,-0.762247892,-0.753483656,-1.685599981,0,ZM,-13.133897,27.849332,15763319267
40,Zimbabwe,33.38636364,27.94359373,27.94359373,19.02025012,19.02025012,37.31259369,34.61278127,59.65353129,8.388500002,3.9995,0.921550605,0.338585347,-0.076031453,0,ZW,-19.015438,29.154857,9970391961
