country_name,DV_phys_or_sex_partner_p,DM_age_mean,DM_age_mean,DM_age_marr_mean,DM_age_marr_mean,WK_working_p,DM_urban_p,DM_marr_p,ED_educ_years_mean,FF_TFR,DP_decide_health_p,hdi,country_code,latitude,longitude,GDP
Armenia,9.176363636363636,31.333770053475934,31.333770053475934,20.17395721925134,20.17395721925134,30.566951871657757,45.547566844919785,65.13577540106951,10.634625668449198,1.7773823529411765,23.497433155080216,0.6892298283719008,AM,40.069099,45.038189,7721111227.444445
Bangladesh,45.628,25.935777777777776,25.935777777777776,15.317055555555557,15.317055555555557,22.471333333333334,19.041444444444444,79.06583333333333,3.770611111111111,2.608616666666667,11.780000000000001,0.5235588032222223,BD,23.684994,90.356331,114880990295.38889
Benin,22.21166666666667,28.747138888888887,28.747138888888887,18.500305555555556,18.500305555555556,74.78325925925925,40.152453703703706,73.54125925925926,2.392537037037037,5.559405555555555,17.733039215686276,0.43576169141025645,BJ,9.30769,2.315834,6378661420.888889
Bolivia,,29.193333333333335,29.193333333333335,19.904166666666665,19.904166666666665,57.241749999999996,65.32708333333333,60.11975,8.025083333333335,3.904191666666667,44.331250000000004,0.6220060252083334,BO,-16.290154,-63.588653,19346603050.0
Burkina Faso,11.683076923076923,28.89346146971154,28.89346146971154,17.41423067298077,17.41423067298077,83.02846156596154,18.66269228992308,79.76038461538461,1.3011538537211538,6.067307693682692,8.32500006325,0.34641179390384613,BF,12.238333,-1.561593,7912031759.5
Burundi,42.9825,27.701249999999998,27.701249999999998,19.93625,19.93625,70.64625,28.49875,54.40375,4.43625,5.567125,13.602500000000001,,BI,-3.373056,29.918886,1865821442.2333333
Cambodia,16.25899997777778,29.756851851851852,29.756851851851852,19.504018518518517,19.504018518518517,68.78348148148149,16.504425925925926,63.11357407407408,4.17074074074074,3.502877777777778,45.07586111111111,0.49896429572962964,KH,12.565679,104.990963,10843579105.333334
Cameroon,43.35254716981132,27.703113207547172,27.703113207547172,18.511603773584905,18.511603773584905,62.05962264150943,57.11254716981132,60.54688679245283,6.927547141509434,4.782745283018868,16.375377292452832,0.475678008875,CM,7.369722,12.354722,23662011363.27778
Colombia,38.54571428571428,30.338791208791207,30.338791208791207,20.13,20.13,53.067142857142855,78.41505494505495,52.67648351648352,8.944835164835165,2.2845164835164833,72.87681318681318,0.6881275219120879,CO,4.570868,-74.297333,229650449979.22223
Congo Democratic Republic,56.20227272727273,28.156818181818178,28.156818181818178,18.145454545454545,18.145454545454545,65.83636363636363,39.64590909090909,66.18227272727273,5.460909090909091,6.612090909090909,15.918181857142857,0.3987300116883117,CG,-0.228021,15.827659,21751714864.22222
Cote d'Ivoire,24.034,28.32166660676923,28.32166660676923,18.207333341846155,18.207333341846155,70.61733336753845,35.414666606846154,67.57600000007692,2.471666670946154,5.562066663253846,9.105,0.4308741963461538,CI,7.539989,-5.54708,23539461295.333332
Egypt,17.91,22.676944444444445,22.676944444444445,19.798518518518517,19.798518518518517,12.42268524074074,35.575185185185184,63.358333333333334,4.780740740740741,3.187138888888889,17.224351851851853,0.6468364373518518,EG,26.820553,30.802498,186432036173.05554
Ethiopia,22.347272727272728,27.76128342245989,27.76128342245989,16.755347593582886,16.755347593582886,37.04494652406417,36.23037431550802,62.22858288770054,3.0627540106951874,4.522457219251337,20.404469696969695,0.3527736378148148,ET,9.145,40.489673,32025448037.72222
Gabon,50.296,28.044000051230768,28.044000051230768,19.11299989753846,19.11299989753846,40.32799994876923,70.11600005123077,55.756999948769234,6.8650000102461535,4.887399989753845,23.919999999999998,0.6541106711538461,GA,-0.803689,11.609444,12114572198.88889
Ghana,22.935,29.273506666666666,29.273506666666666,19.011433333333333,19.011433333333333,75.01416666666667,40.5139,62.43667333333333,5.676173333333334,4.530016,27.671166666666668,0.52704845828,GH,7.946527,-1.023194,26190412202.77778
Guatemala,17.11,28.6106641015625,28.6106641015625,18.231484375,18.231484375,35.5355078515625,37.57593703125,63.24585953125,4.8830078125,4.283078125,19.06375,0.5931029664609375,GT,15.783471,-90.230759,40726917996.166664
Guinea,,28.978214285714284,28.978214285714284,16.82888392857143,16.82888392857143,72.48933035714286,29.880535714285713,76.48901785714285,2.0030357125,5.324428571428571,10.76366075,0.3812486984375,GN,9.945587,-9.696645,6066945340.944445
Haiti,20.76571893248366,28.42924840954248,28.42924840954248,19.984248366013073,19.984248366013073,43.28084956437908,33.23647054470588,57.926339869281044,4.7867647145882355,4.311114370379085,26.437875664640522,0.4649464908632479,HT,18.971187,-72.285215,6109304638.944445
Honduras,20.209375,28.538125,28.538125,18.2075,18.2075,40.2503125,40.74687502678571,58.8596875,6.3234375,3.39359375,26.748437499999998,0.5985574517857143,HN,15.199999,-86.241905,14247784252.055555
India,30.282307692307693,26.62818689175824,26.62818689175824,18.14417589489011,18.14417589489011,32.29549447408242,28.300824270104396,69.59252757467033,4.693461549461539,2.6268626436483515,28.49576923076923,0.5739593174285714,IN,20.593684,78.96288,1353777777777.7778
